,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,target,w_1servewon_per,l_1servewon_per,break_points_made,break_points_recieved
37936,4,8,80,43,27,20,11,2,5,7,6,90,44,25,22,11,16,20,0,62,56,4,3
37995,4,3,96,57,38,20,14,7,10,10,13,94,61,44,15,14,8,11,0,66,72,3,3
38070,6,2,88,64,46,13,14,2,4,2,8,82,47,25,12,13,5,12,0,71,53,7,2
38226,1,6,63,33,26,16,12,0,3,9,4,85,55,38,9,12,7,11,0,78,69,4,3
38337,4,3,50,26,18,14,8,2,3,1,4,51,24,13,10,7,7,12,0,69,54,5,1
38388,5,0,59,42,29,8,9,1,2,6,1,51,32,21,9,9,3,7,0,69,65,4,1
38472,5,2,86,45,34,22,13,7,9,7,3,71,38,27,15,13,1,5,0,75,71,4,2
38630,1,6,78,45,31,13,12,10,13,3,5,79,45,29,11,13,4,11,0,68,64,7,3
38642,2,3,68,42,33,17,12,5,6,4,3,65,38,27,15,11,5,7,0,78,71,2,1
38866,3,4,77,46,39,20,13,2,3,12,2,97,63,38,13,13,6,12,0,84,60,6,1
39016,2,1,38,21,18,11,7,0,0,1,3,52,30,16,9,8,8,13,0,85,53,5,0
39170,15,1,101,74,56,10,16,4,7,6,7,98,63,44,19,15,5,8,0,75,69,3,3
39426,6,3,79,51,36,14,10,11,12,8,6,61,41,29,5,9,4,8,0,70,70,4,1
39502,7,5,101,66,47,16,14,8,11,8,5,104,65,44,22,15,6,8,0,71,67,2,3
39697,1,3,62,28,24,20,10,5,6,1,5,81,43,29,14,10,6,10,0,85,67,4,1
39805,2,1,70,46,34,13,12,2,5,2,2,80,49,27,15,12,4,8,0,73,55,4,3
39890,2,2,66,41,27,15,8,7,7,3,5,52,30,17,9,8,3,7,0,65,56,4,0
39957,2,3,80,54,33,12,13,3,8,7,1,79,44,26,14,13,2,9,0,61,59,7,5
40100,9,2,76,45,37,19,14,3,4,4,6,89,43,25,23,13,4,9,0,82,58,5,1
40185,8,3,51,38,29,7,9,3,4,1,3,49,29,16,9,8,2,6,0,76,55,4,1
40275,14,3,64,44,38,12,11,0,0,12,5,74,44,33,14,10,2,3,0,86,75,1,0
40318,7,5,52,32,29,11,9,3,3,3,4,72,34,25,15,9,5,8,0,90,73,3,0
40436,8,1,139,93,64,22,25,4,11,12,4,144,76,52,28,25,5,14,0,68,68,9,7
40714,15,8,78,47,41,14,13,6,8,2,9,97,50,33,22,13,6,10,0,87,66,4,2
40771,5,0,40,23,22,14,9,0,0,5,1,46,30,19,7,8,0,3,0,95,63,3,0
40793,4,0,48,33,28,12,9,2,2,4,2,50,23,17,11,8,2,5,0,84,73,3,0
40988,7,2,90,55,40,20,15,4,6,8,8,94,46,27,24,14,7,13,0,72,58,6,2
41113,10,1,82,41,32,23,14,1,3,3,6,99,55,37,22,15,12,15,0,78,67,3,2
41271,10,0,86,61,50,9,15,1,3,5,3,101,66,42,19,15,4,7,0,81,63,3,2
41336,8,0,90,66,51,15,15,0,0,4,3,83,50,37,16,13,3,6,0,77,74,3,0
41395,6,5,55,30,26,10,9,2,3,1,7,59,29,14,14,8,5,9,0,86,48,4,1
41454,6,1,52,37,35,6,10,2,2,4,5,64,36,28,11,10,2,4,0,94,77,2,0
41506,3,3,77,44,31,17,13,3,6,8,6,100,54,34,20,14,10,15,0,70,62,5,3
41657,6,5,126,84,61,21,20,7,9,18,6,142,93,65,17,19,11,18,0,72,69,7,2
41907,4,5,94,71,44,12,15,1,5,5,3,90,51,35,13,14,5,10,0,61,68,5,4
42076,2,1,64,40,27,14,9,3,4,5,4,65,34,23,11,9,6,10,0,67,67,4,1
42139,0,1,58,36,26,15,9,2,2,2,3,52,31,21,9,8,7,10,0,72,67,3,0
42217,5,0,48,33,28,9,9,3,3,2,1,51,30,19,12,9,0,3,0,84,63,3,0
42356,2,3,65,43,29,9,9,2,4,0,3,67,36,15,17,10,6,12,0,67,41,6,2
42409,2,1,50,34,25,9,8,2,3,0,3,49,25,9,11,8,3,8,0,73,36,5,1
42587,1,2,83,55,40,13,12,6,8,4,3,70,39,27,15,12,1,4,0,72,69,3,2
42624,15,0,74,52,41,15,14,3,4,12,5,85,46,36,19,13,1,3,0,78,78,2,1
42753,3,4,171,111,75,28,25,18,23,2,9,149,95,62,28,24,9,16,0,67,65,7,5
42863,3,6,99,61,46,18,15,4,6,19,9,110,67,48,19,15,9,12,0,75,71,3,2
42911,1,4,110,73,53,18,16,6,8,13,3,94,56,40,18,15,4,8,0,72,71,4,2
43091,10,4,135,67,56,35,24,6,11,20,9,174,104,67,33,24,11,18,0,83,64,7,5
43339,18,0,74,51,43,15,12,0,0,10,2,69,43,38,17,12,0,0,0,84,88,0,0
43386,0,1,46,33,27,8,8,1,1,5,5,49,31,19,6,7,4,8,0,81,61,4,0
43665,5,5,159,93,72,34,27,10,15,14,4,182,117,76,35,26,15,21,0,77,64,6,5
44051,0,2,102,70,51,13,14,14,15,11,2,80,50,41,12,14,2,5,0,72,82,3,1
44082,4,2,107,69,50,22,16,4,6,21,2,106,64,48,22,17,5,9,0,72,75,4,2
44085,5,0,73,44,39,12,11,0,0,6,0,77,53,38,13,11,3,4,0,88,71,1,0
44086,8,3,63,51,45,4,11,0,0,10,2,60,40,31,15,11,1,2,0,88,77,1,0
44202,4,5,111,75,53,16,15,8,11,6,5,108,57,35,25,14,6,11,0,70,61,5,3
44480,18,1,138,95,72,22,23,5,8,19,2,143,98,67,25,23,7,11,0,75,68,4,3
44641,8,2,57,37,30,11,10,5,6,7,3,45,29,22,8,9,2,5,0,81,75,3,1
44690,4,1,37,23,21,9,8,1,2,0,0,53,30,15,9,8,1,6,0,91,50,5,1
44838,3,4,98,68,41,12,13,15,20,8,2,78,44,33,10,13,6,11,0,60,75,5,5
45014,2,3,114,67,53,26,17,6,8,12,4,126,74,56,21,17,6,10,0,79,75,4,2
45112,3,0,60,44,31,10,10,2,3,2,2,46,28,19,10,9,2,5,0,70,67,3,1
45144,2,6,131,72,50,29,19,4,9,3,4,115,69,44,22,18,7,13,0,69,63,6,5
45316,11,2,99,67,53,11,15,7,9,6,2,71,44,40,16,15,2,4,0,79,90,2,2
45399,9,0,62,41,34,14,11,1,1,10,4,72,39,32,17,11,6,7,0,82,82,1,0
45944,6,2,86,57,45,9,14,7,10,7,3,88,51,30,18,14,1,6,0,78,58,5,3
46062,0,0,56,39,27,13,9,3,3,8,3,66,45,30,7,9,4,7,0,69,66,3,0
46152,1,5,90,72,46,7,15,2,7,5,6,81,44,29,14,14,4,10,0,63,65,6,5
46175,0,1,69,45,33,16,11,3,4,12,8,79,45,32,16,11,6,8,0,73,71,2,1
46299,1,0,50,29,26,13,9,1,1,5,1,58,38,23,12,9,3,6,0,89,60,3,0
46471,2,5,85,60,44,8,13,4,7,8,3,100,54,36,22,13,6,10,0,73,66,4,3
46740,9,4,87,52,39,14,11,4,6,7,5,64,40,30,10,10,1,4,0,75,75,3,2
46824,8,1,54,40,33,8,10,0,0,3,2,58,34,25,13,10,2,4,0,82,73,2,0
46922,6,1,94,53,40,27,15,1,1,4,4,103,66,47,17,14,6,9,0,75,71,3,0
47086,3,1,102,66,48,27,17,6,8,5,0,107,72,43,21,16,3,7,0,72,59,4,2
47208,10,4,155,95,73,29,24,5,8,13,4,140,83,66,31,24,1,4,0,76,79,3,3
47468,3,2,78,52,38,15,14,2,4,6,4,77,49,34,9,14,4,11,0,73,69,7,2
48271,1,2,123,75,48,30,18,6,9,14,7,123,69,54,25,18,10,14,0,64,78,4,3
48537,3,5,189,117,78,34,26,16,22,23,5,182,126,89,23,26,15,22,0,66,70,7,6
48813,2,1,80,57,37,15,9,11,11,10,7,64,40,29,6,9,3,6,0,64,72,3,0
48914,3,7,87,59,41,12,13,5,7,5,6,84,42,27,21,13,9,14,0,69,64,5,2
48996,5,2,64,46,34,11,10,3,4,2,6,94,49,34,22,11,11,14,0,73,69,3,1
49443,2,1,66,35,26,19,10,1,2,7,7,66,37,27,10,10,2,5,0,74,72,3,1
49609,5,0,70,39,35,18,13,0,0,4,5,75,45,28,15,12,2,7,0,89,62,5,0
49617,4,1,42,31,26,7,9,1,2,6,3,53,32,18,8,8,6,10,0,83,56,4,1
49670,9,2,51,38,32,6,9,0,0,3,2,50,32,20,8,8,5,8,0,84,62,3,0
49734,0,0,55,43,32,7,9,1,1,3,1,41,25,14,8,8,3,6,0,74,56,3,0
50191,12,4,90,62,51,16,15,2,2,13,5,94,60,45,19,15,5,8,0,82,75,3,0
50232,4,7,91,60,49,12,15,0,3,2,11,106,52,34,32,15,4,7,0,81,65,3,3
50444,21,7,120,85,64,16,20,5,8,22,2,127,75,56,23,19,2,7,0,75,74,5,3
50493,2,1,98,57,44,25,16,2,4,9,12,104,62,53,13,15,7,11,0,77,85,4,2
50594,3,0,67,42,32,11,11,0,2,9,2,65,49,36,10,11,2,3,0,76,73,1,2
50869,1,1,105,62,42,22,15,12,15,10,2,102,65,42,20,15,7,10,0,67,64,3,3
50929,9,1,103,77,64,14,17,0,1,16,2,101,67,57,16,16,1,3,0,83,85,2,1
50932,9,1,98,68,56,18,16,1,2,24,8,123,82,65,18,17,6,9,0,82,79,3,1
50933,9,3,131,85,67,22,17,5,6,16,2,126,93,60,17,16,4,6,0,78,64,2,1
